domain,method,n_groups,mean_reward,std,early_reward,late_reward,memory_count,positive_rate,harmful_rate,contamination,memory_efficiency,mean_tau
medium,reflexion,38,0.2631578947368421,0.6359497880839249,0.07692307692307693,0.25,2.8947368421052633,0.18421052631578946,0.23684210526315788,0.08181818181818182,0.0909090909090909,-0.05263157894736842
medium,retrieval,38,0.2894736842105263,0.7576936867835773,0.07692307692307693,0.25,2.8947368421052633,0.23684210526315788,0.2631578947368421,0.09090909090909091,0.1,-0.02631578947368421
medium,smtr_tci,38,0.5789473684210527,0.711986803077299,0.46153846153846156,0.6666666666666666,0.2631578947368421,0.2631578947368421,0.0,0.0,2.2,0.2631578947368421
large,agemem,28,0.6071428571428571,0.8999716548824395,0.6,0.75,2.892857142857143,0.25,0.21428571428571427,0.07407407407407407,0.20987654320987653,0.03571428571428571
large,full_memory,28,0.42857142857142855,1.5681784571500106,0.3,0.875,4.607142857142857,0.32142857142857145,0.4642857142857143,0.10077519379844961,0.09302325581395349,-0.14285714285714285
large,heuristic,28,0.6071428571428571,0.8167569018592338,0.7,0.625,2.892857142857143,0.21428571428571427,0.17857142857142858,0.06172839506172839,0.20987654320987653,0.03571428571428571
large,no_memory,28,0.5714285714285714,0.49487165930539356,0.6,0.5,0.0,0.0,0.0,0.0,57.14285714285714,0.0
large,reflexion,28,0.6071428571428571,0.8167569018592338,0.7,0.625,2.892857142857143,0.21428571428571427,0.17857142857142858,0.06172839506172839,0.20987654320987653,0.03571428571428571
large,retrieval,28,0.4642857142857143,1.0170736332784387,0.4,0.75,2.892857142857143,0.17857142857142858,0.2857142857142857,0.09876543209876543,0.16049382716049385,-0.10714285714285714
large,smtr_tci,28,0.8214285714285714,0.7584557350569751,0.9,0.875,0.25,0.25,0.0,0.0,3.2857142857142856,0.25
complex,agemem,20,0.45,0.5894913061275798,0.5,0.5,2.85,0.25,0.0,0.0,0.15789473684210525,0.25
complex,full_memory,20,0.55,0.7399324293474372,0.8333333333333334,0.625,4.5,0.4,0.05,0.011111111111111112,0.12222222222222223,0.35
complex,heuristic,20,0.45,0.5894913061275798,0.5,0.5,2.85,0.25,0.0,0.0,0.15789473684210525,0.25
complex,no_memory,20,0.2,0.4000000000000001,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,20.0,0.0
complex,reflexion,20,0.45,0.5894913061275798,0.5,0.5,2.85,0.25,0.0,0.0,0.15789473684210525,0.25
complex,retrieval,20,0.5,0.5916079783099616,0.6666666666666666,0.5,2.85,0.3,0.0,0.0,0.17543859649122806,0.3
complex,smtr_tci,20,0.6,0.7348469228349533,0.8333333333333334,0.625,0.4,0.4,0.0,0.0,1.4999999999999998,0.4
