domain,task_id,seed,episode_id,team_reward,team_success,receiver_rewards,success,real_engine_executed,engine_duration_seconds,wall_seconds,exit_code,score
database,94,1,985d7dc958386b5030766af7,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,206.68,206.75,0,1.0
database,59,0,30f97726f90ed40cf350b5dd,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,208.15,208.23,0,1.0
database,59,1,ac16ea87d2daad0b988b09f2,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.65,202.72,0,1.0
database,69,0,8358077572d1723753d0f1f4,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.65,202.73,0,1.0
database,69,1,9aa2e34c4d8bf4e041fd597e,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,204.37,204.45,0,1.0
database,16,0,f590bb26c2274bbffacb6c91,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.72,202.82,0,1.0
database,16,1,0bf05745760c9f7ddd338244,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,199.03,199.13,0,1.0
database,49,0,8c85a1265f1bb85147214f10,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.82,202.9,0,1.0
database,49,1,b976d250fe9aeb81e6c27ba6,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,200.2,200.28,0,1.0
database,11,0,9b5ef5394158f52d95ce6638,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,217.81,217.89,0,1.0
database,11,1,c5326361a1dce03bd9e84546,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,197.55,197.63,0,1.0
database,71,0,1dcafbd1f75d52e50f48ad2f,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,201.91,201.99,0,1.0
database,71,1,92ab2f62870c3c1e40d8ccb0,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,214.66,214.74,0,1.0
database,38,0,cc90e8e2de8fbed2362f0c28,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.78,196.86,0,1.0
database,38,1,35913a4c29a88feff35e72aa,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.6,196.67,0,1.0
database,81,0,325270253d0cbc5287effc9c,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,204.23,204.3,0,1.0
