scenario,method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
bargaining,no_memory,bargaining:52,3,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:52,3,1.722222222222222,1.3333333333333333,1.3333333333333333,2.5,6,6,6,2,2,3,1,1,1,0.0
bargaining,retrieval,bargaining:52,3,0.7222222222222222,0.3333333333333333,0.3333333333333333,1.5,3,3,3,1,1,1,1,1,0,0.0
bargaining,smtr_uniform,bargaining:52,3,2.7222222222222228,2.3333333333333335,2.3333333333333335,3.5,3,3,3,2,2,3,0,0,0,0.0
bargaining,smtr_receiver,bargaining:52,3,2.7222222222222228,2.3333333333333335,2.3333333333333335,3.5,2,2,3,2,2,3,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:52,4,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:52,4,-0.5555555555555557,-0.6666666666666667,-1.5,0.5,6,6,6,0,0,1,1,2,1,0.0
bargaining,retrieval,bargaining:52,4,-0.5555555555555557,-0.6666666666666667,-1.5,0.5,3,3,3,0,0,0,1,2,0,0.0
bargaining,smtr_uniform,bargaining:52,4,0.7777777777777777,0.3333333333333333,0.5,1.5,1,1,1,0,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:52,4,0.7777777777777777,0.3333333333333333,0.5,1.5,0,0,1,0,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:53,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:53,0,0.33333333333333326,0.3333333333333333,1.3333333333333333,-0.6666666666666667,6,6,6,1,2,0,1,1,1,0.0
bargaining,retrieval,bargaining:53,0,-0.3333333333333334,-0.6666666666666667,0.3333333333333333,-0.6666666666666667,3,3,3,0,1,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:53,0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,2,2,2,1,2,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:53,0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,1,2,0,1,2,0,0,0,0,0.816496580927726
bargaining,no_memory,bargaining:53,1,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:53,1,0.055555555555555504,0.3333333333333333,0.5,-0.6666666666666667,6,6,6,1,1,0,1,1,1,0.0
bargaining,retrieval,bargaining:53,1,0.055555555555555504,0.3333333333333333,0.5,-0.6666666666666667,3,3,3,1,1,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:53,1,1.0555555555555556,1.3333333333333333,1.5,0.3333333333333333,1,1,1,1,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:53,1,1.0555555555555556,1.3333333333333333,1.5,0.3333333333333333,1,1,0,1,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:53,2,0.5555555555555555,0.5,0.6666666666666666,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:53,2,-1.777777777777778,-1.5,-2.3333333333333335,-1.5,6,6,6,0,0,0,2,3,2,0.0
bargaining,retrieval,bargaining:53,2,0.2222222222222222,0.5,-0.33333333333333337,0.5,3,3,3,0,0,0,0,1,0,0.0
bargaining,smtr_uniform,bargaining:53,2,0.5555555555555555,0.5,0.6666666666666666,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:53,2,0.5555555555555555,0.5,0.6666666666666666,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:53,3,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:53,3,0.2222222222222222,0.16666666666666666,-0.6666666666666667,1.1666666666666667,6,6,6,1,1,1,1,2,0,0.0
bargaining,retrieval,bargaining:53,3,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.16666666666666666,3,3,3,0,1,0,0,1,0,0.0
bargaining,smtr_uniform,bargaining:53,3,1.2222222222222223,1.1666666666666667,1.3333333333333333,1.1666666666666667,2,2,2,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:53,3,1.2222222222222223,1.1666666666666667,1.3333333333333333,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:53,4,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:53,4,0.16666666666666666,0.5,0.5,-0.5,6,6,6,1,1,0,1,1,1,0.0
bargaining,retrieval,bargaining:53,4,-0.5,-0.5,-0.5,-0.5,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:53,4,1.1666666666666667,1.5,1.5,0.5,1,1,1,1,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:53,4,1.1666666666666667,1.5,1.5,0.5,1,1,0,1,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:54,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:54,0,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.1666666666666665,6,6,6,2,2,2,0,0,0,0.0
bargaining,retrieval,bargaining:54,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:54,0,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.1666666666666665,2,2,2,2,2,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:54,0,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.1666666666666665,2,2,2,2,2,2,0,0,0,0.0
bargaining,no_memory,bargaining:54,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:54,1,2.5,2.5,2.5,2.5,6,6,6,2,2,2,0,0,0,0.0
bargaining,retrieval,bargaining:54,1,1.5,1.5,1.5,1.5,3,3,3,1,1,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:54,1,2.5,2.5,2.5,2.5,2,2,2,2,2,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:54,1,2.5,2.5,2.5,2.5,2,2,2,2,2,2,0,0,0,0.0
bargaining,no_memory,bargaining:54,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:54,2,-0.3333333333333333,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,6,6,6,0,0,0,1,1,1,0.0
bargaining,retrieval,bargaining:54,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:54,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:54,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:54,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:54,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,6,6,6,1,1,1,0,0,0,0.0
bargaining,retrieval,bargaining:54,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,3,3,3,1,1,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:54,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:54,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:54,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:54,4,1.8333333333333333,2.1666666666666665,2.1666666666666665,1.1666666666666667,6,6,6,2,2,1,0,0,0,0.0
bargaining,retrieval,bargaining:54,4,0.8333333333333334,1.1666666666666667,1.1666666666666667,0.16666666666666666,3,3,3,1,1,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:54,4,1.8333333333333333,2.1666666666666665,2.1666666666666665,1.1666666666666667,2,2,2,2,2,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:54,4,1.8333333333333333,2.1666666666666665,2.1666666666666665,1.1666666666666667,2,2,1,2,2,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:55,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:55,0,0.8333333333333334,1.5,0.5,0.5,6,6,6,1,0,1,0,0,1,0.0
bargaining,retrieval,bargaining:55,0,0.5,0.5,0.5,0.5,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:55,0,1.1666666666666667,1.5,0.5,1.5,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:55,0,1.1666666666666667,1.5,0.5,1.5,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:55,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:55,1,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,6,6,6,1,2,1,0,0,0,0.0
bargaining,retrieval,bargaining:55,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:55,1,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,2,2,2,1,2,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:55,1,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,1,2,1,1,2,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:55,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:55,2,3.0,3.3333333333333335,2.3333333333333335,3.3333333333333335,6,6,6,3,2,3,0,0,0,0.0
bargaining,retrieval,bargaining:55,2,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,3,3,3,1,0,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:55,2,2.6666666666666665,3.3333333333333335,1.3333333333333333,3.3333333333333335,3,3,3,3,1,3,0,0,0,0.0
bargaining,smtr_receiver,bargaining:55,2,3.0,3.3333333333333335,2.3333333333333335,3.3333333333333335,3,2,3,3,2,3,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:55,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:55,3,0.6666666666666666,0.6666666666666666,-0.33333333333333337,1.6666666666666665,6,6,6,2,1,2,2,2,1,0.0
bargaining,retrieval,bargaining:55,3,-0.3333333333333335,-0.33333333333333337,-1.3333333333333335,0.6666666666666666,3,3,3,1,0,1,2,2,1,0.0
bargaining,smtr_uniform,bargaining:55,3,2.3333333333333335,2.6666666666666665,1.6666666666666665,2.6666666666666665,2,2,2,2,1,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:55,3,2.3333333333333335,2.6666666666666665,1.6666666666666665,2.6666666666666665,2,1,2,2,1,2,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:55,4,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:55,4,2.222222222222222,3.1666666666666665,1.1666666666666667,2.3333333333333335,6,6,6,3,1,3,0,0,1,0.0
bargaining,retrieval,bargaining:55,4,1.8888888888888886,2.1666666666666665,1.1666666666666667,2.3333333333333335,3,3,3,2,1,2,0,0,0,0.0
bargaining,smtr_uniform,bargaining:55,4,2.5555555555555554,3.1666666666666665,1.1666666666666667,3.3333333333333335,3,3,3,3,1,3,0,0,0,0.0
bargaining,smtr_receiver,bargaining:55,4,2.5555555555555554,3.1666666666666665,1.1666666666666667,3.3333333333333335,3,1,3,3,1,3,0,0,0,0.9428090415820634
bargaining,no_memory,bargaining:56,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:56,0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,6,6,6,1,0,0,0,0,0,0.0
bargaining,retrieval,bargaining:56,0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3,1,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:56,0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:56,0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0,1,0,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:56,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:56,1,1.5,1.1666666666666667,1.1666666666666667,2.1666666666666665,6,6,6,2,2,3,1,1,1,0.0
bargaining,retrieval,bargaining:56,1,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,3,3,3,1,1,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:56,1,2.5,2.1666666666666665,2.1666666666666665,3.1666666666666665,3,3,3,2,2,3,0,0,0,0.0
bargaining,smtr_receiver,bargaining:56,1,2.5,2.1666666666666665,2.1666666666666665,3.1666666666666665,2,2,3,2,2,3,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:56,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:56,2,-0.6666666666666669,-1.3333333333333335,-0.33333333333333337,-0.33333333333333337,6,6,6,0,0,1,2,1,2,0.0
bargaining,retrieval,bargaining:56,2,-1.0000000000000002,-1.3333333333333335,-0.33333333333333337,-1.3333333333333335,3,3,3,0,0,0,2,1,2,0.0
bargaining,smtr_uniform,bargaining:56,2,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666665,1,1,1,0,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:56,2,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666665,0,0,1,0,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:56,3,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:56,3,-1.1666666666666667,-1.5,-1.5,-0.5,6,6,6,0,0,1,2,2,2,0.0
bargaining,retrieval,bargaining:56,3,-0.5,-0.5,-0.5,-0.5,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:56,3,0.8333333333333334,0.5,0.5,1.5,1,1,1,0,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:56,3,0.8333333333333334,0.5,0.5,1.5,0,0,1,0,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:56,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:56,4,-2.1666666666666665,-2.1666666666666665,-2.1666666666666665,-2.1666666666666665,6,6,6,0,0,0,3,3,3,0.0
bargaining,retrieval,bargaining:56,4,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:56,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:56,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:57,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:57,0,0.16666666666666666,-0.5,1.5,-0.5,6,6,6,0,1,0,1,0,1,0.0
bargaining,retrieval,bargaining:57,0,0.8333333333333334,0.5,1.5,0.5,3,3,3,0,1,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:57,0,0.8333333333333334,0.5,1.5,0.5,1,1,1,0,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:57,0,0.8333333333333334,0.5,1.5,0.5,0,1,0,0,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:57,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:57,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,6,6,1,0,1,1,0,1,0.0
bargaining,retrieval,bargaining:57,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:57,1,1.5,1.8333333333333335,0.8333333333333334,1.8333333333333335,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:57,1,1.5,1.8333333333333335,0.8333333333333334,1.8333333333333335,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:57,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:57,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,6,6,2,1,2,2,1,2,0.0
bargaining,retrieval,bargaining:57,2,-0.3333333333333333,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:57,2,2.3333333333333335,2.6666666666666665,1.6666666666666665,2.6666666666666665,2,2,2,2,1,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:57,2,2.3333333333333335,2.6666666666666665,1.6666666666666665,2.6666666666666665,2,1,2,2,1,2,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:57,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:57,3,2.1666666666666665,2.1666666666666665,3.1666666666666665,1.1666666666666667,6,6,6,2,3,1,0,0,0,0.0
bargaining,retrieval,bargaining:57,3,1.5,2.1666666666666665,1.1666666666666667,1.1666666666666667,3,3,3,2,1,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:57,3,1.8333333333333333,2.1666666666666665,2.1666666666666665,1.1666666666666667,3,3,3,2,2,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:57,3,2.1666666666666665,2.1666666666666665,3.1666666666666665,1.1666666666666667,2,3,1,2,3,1,0,0,0,0.816496580927726
bargaining,no_memory,bargaining:57,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:57,4,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,6,6,6,2,2,2,1,1,1,0.0
bargaining,retrieval,bargaining:57,4,0.5,1.1666666666666667,-0.8333333333333334,1.1666666666666667,3,3,3,2,0,2,1,1,1,0.0
bargaining,smtr_uniform,bargaining:57,4,1.8333333333333333,2.1666666666666665,1.1666666666666667,2.1666666666666665,3,3,3,2,1,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:57,4,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.1666666666666665,2,2,2,2,2,2,0,0,0,0.0
bargaining,no_memory,bargaining:6,0,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:6,0,0.055555555555555504,1.3333333333333333,-0.5,-0.6666666666666667,6,6,6,2,2,0,1,3,1,0.0
bargaining,retrieval,bargaining:6,0,0.055555555555555504,1.3333333333333333,-0.5,-0.6666666666666667,3,3,3,1,1,0,0,2,1,0.0
bargaining,smtr_uniform,bargaining:6,0,1.7222222222222223,2.3333333333333335,2.5,0.3333333333333333,2,2,2,2,2,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:6,0,1.7222222222222223,2.3333333333333335,2.5,0.3333333333333333,2,2,0,2,2,0,0,0,0,0.9428090415820634
bargaining,no_memory,bargaining:6,1,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:6,1,0.5,2.0,0.3333333333333333,-0.8333333333333334,6,6,6,2,2,0,0,2,1,0.0
bargaining,retrieval,bargaining:6,1,-0.1666666666666667,1.0,-0.6666666666666667,-0.8333333333333334,3,3,3,1,1,0,0,2,1,0.0
bargaining,smtr_uniform,bargaining:6,1,1.5000000000000002,2.0,2.3333333333333335,0.16666666666666666,2,2,2,2,2,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:6,1,1.5000000000000002,2.0,2.3333333333333335,0.16666666666666666,2,2,0,2,2,0,0,0,0,0.9428090415820634
bargaining,no_memory,bargaining:6,2,0.611111111111111,0.5,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:6,2,-1.0555555555555556,-0.5,-2.3333333333333335,-0.33333333333333337,6,6,6,0,0,0,1,3,1,0.0
bargaining,retrieval,bargaining:6,2,-0.388888888888889,0.5,-1.3333333333333335,-0.33333333333333337,3,3,3,0,0,0,0,2,1,0.0
bargaining,smtr_uniform,bargaining:6,2,0.611111111111111,0.5,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:6,2,0.611111111111111,0.5,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:6,3,0.5555555555555555,0.5,0.6666666666666666,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:6,3,-0.7777777777777778,0.5,-1.3333333333333335,-1.5,6,6,6,1,1,0,1,3,2,0.0
bargaining,retrieval,bargaining:6,3,0.22222222222222218,1.5,-0.33333333333333337,-0.5,3,3,3,1,1,0,0,2,1,0.0
bargaining,smtr_uniform,bargaining:6,3,1.222222222222222,1.5,1.6666666666666665,0.5,1,1,1,1,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:6,3,1.222222222222222,1.5,1.6666666666666665,0.5,1,1,0,1,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:6,4,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:6,4,-0.5555555555555556,0.3333333333333333,-1.5,-0.5,6,6,6,1,0,1,1,2,2,0.0
bargaining,retrieval,bargaining:6,4,-0.5555555555555556,0.3333333333333333,-1.5,-0.5,3,3,3,1,0,1,1,2,2,0.0
bargaining,smtr_uniform,bargaining:6,4,1.111111111111111,1.3333333333333333,0.5,1.5,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:6,4,1.111111111111111,1.3333333333333333,0.5,1.5,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:60,0,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:60,0,1.0555555555555556,1.3333333333333333,0.5,1.3333333333333333,6,6,6,1,1,1,0,1,0,0.0
bargaining,retrieval,bargaining:60,0,0.055555555555555546,0.3333333333333333,-0.5,0.3333333333333333,3,3,3,0,0,0,0,1,0,0.0
bargaining,smtr_uniform,bargaining:60,0,1.3888888888888886,1.3333333333333333,1.5,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:60,0,1.3888888888888886,1.3333333333333333,1.5,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:60,1,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:60,1,-0.888888888888889,-0.6666666666666667,-0.5,-1.5,6,6,6,0,0,0,1,1,2,0.0
bargaining,retrieval,bargaining:60,1,-0.5555555555555556,-0.6666666666666667,-0.5,-0.5,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:60,1,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:60,1,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:60,2,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:60,2,-0.2777777777777778,-0.33333333333333337,-0.16666666666666663,-0.33333333333333337,6,6,6,0,0,0,1,1,1,0.0
bargaining,retrieval,bargaining:60,2,0.38888888888888884,0.6666666666666666,-0.16666666666666663,0.6666666666666666,3,3,3,0,0,0,0,1,0,0.0
bargaining,smtr_uniform,bargaining:60,2,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:60,2,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:60,3,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:60,3,-0.6111111111111112,0.3333333333333333,-1.6666666666666667,-0.5,6,6,6,1,0,0,1,2,1,0.0
bargaining,retrieval,bargaining:60,3,-0.6111111111111112,-0.6666666666666667,-1.6666666666666667,0.5,3,3,3,0,0,0,1,2,0,0.0
bargaining,smtr_uniform,bargaining:60,3,0.7222222222222222,1.3333333333333333,0.3333333333333333,0.5,1,1,1,1,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:60,3,0.7222222222222222,1.3333333333333333,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:60,4,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:60,4,0.055555555555555525,0.3333333333333333,-0.6666666666666667,0.5,6,6,6,1,0,1,1,1,1,0.0
bargaining,retrieval,bargaining:60,4,0.38888888888888884,0.3333333333333333,-0.6666666666666667,1.5,3,3,3,1,0,1,1,1,0,0.0
bargaining,smtr_uniform,bargaining:60,4,1.0555555555555556,1.3333333333333333,0.3333333333333333,1.5,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:60,4,1.0555555555555556,1.3333333333333333,0.3333333333333333,1.5,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:61,0,0.5555555555555555,0.5,0.5,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
