task_id,agent,seed,edge_id,real_engine,success,evaluator,agents_audited,has_output,warnings
16,agent1,1,edge_6b52ab2a748fbac5,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,1,edge_556c194697c66f51,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,1,edge_a4983deaf8be5727,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,1,edge_22cb5a8ab06fe21f,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,1,edge_9cefbc7ec8900664,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,0,edge_25de2fd419cdd4bd,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
16,agent1,0,edge_6b52ab2a748fbac5,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,0,edge_556c194697c66f51,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,0,edge_a4983deaf8be5727,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,0,edge_22cb5a8ab06fe21f,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,0,edge_9cefbc7ec8900664,True,True,marble_database_evaluate_task_db,7,True,OK
17,agent1,2,edge_f5bc841ab34631bc,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,2,edge_0447b120a0666b13,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
17,agent1,2,edge_13a8223e94875fd8,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,2,edge_6acc8366e328969e,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,2,edge_a376e394ecfb8d35,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,2,edge_49998350c92b5199,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,1,edge_f5bc841ab34631bc,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,1,edge_0447b120a0666b13,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,1,edge_13a8223e94875fd8,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
17,agent1,1,edge_6acc8366e328969e,True,True,marble_database_evaluate_task_db,7,True,OK
17,agent1,1,edge_a376e394ecfb8d35,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,1,edge_49998350c92b5199,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
17,agent1,0,edge_f5bc841ab34631bc,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
17,agent1,0,edge_0447b120a0666b13,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,0,edge_13a8223e94875fd8,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,0,edge_6acc8366e328969e,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,0,edge_a376e394ecfb8d35,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
17,agent1,0,edge_49998350c92b5199,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,2,edge_3517ea875eba4270,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,2,edge_baed06173236f16c,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,2,edge_569cb4b7645d7bb5,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,2,edge_f8e52dc0c53418fd,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,2,edge_3b78b4ba85a335cc,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,2,edge_610b98dc48783b3a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,1,edge_3517ea875eba4270,True,True,marble_database_evaluate_task_db,7,True,OK
19,agent1,1,edge_baed06173236f16c,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,1,edge_569cb4b7645d7bb5,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,1,edge_f8e52dc0c53418fd,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,1,edge_3b78b4ba85a335cc,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,1,edge_610b98dc48783b3a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,0,edge_3517ea875eba4270,True,True,marble_database_evaluate_task_db,7,True,OK
19,agent1,0,edge_baed06173236f16c,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,0,edge_569cb4b7645d7bb5,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,0,edge_f8e52dc0c53418fd,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
19,agent1,0,edge_3b78b4ba85a335cc,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
19,agent1,0,edge_610b98dc48783b3a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,2,edge_7a00f6432f202bfc,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,2,edge_0c44636cf677029c,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,2,edge_8e6a034df30a1e30,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,2,edge_13bb2f8d5097a821,True,True,marble_database_evaluate_task_db,7,True,OK
2,agent1,2,edge_672f4b6a075f535a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,2,edge_9882122665f29432,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,1,edge_7a00f6432f202bfc,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
2,agent1,1,edge_0c44636cf677029c,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
2,agent1,1,edge_8e6a034df30a1e30,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,1,edge_13bb2f8d5097a821,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
2,agent1,1,edge_672f4b6a075f535a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,1,edge_9882122665f29432,True,True,marble_database_evaluate_task_db,7,True,OK
2,agent1,0,edge_7a00f6432f202bfc,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,0,edge_0c44636cf677029c,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
2,agent1,0,edge_8e6a034df30a1e30,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
2,agent1,0,edge_13bb2f8d5097a821,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
2,agent1,0,edge_672f4b6a075f535a,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
2,agent1,0,edge_9882122665f29432,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,2,edge_b47d7aab492f6341,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,2,edge_9ff2c4d81ac9056f,True,True,marble_database_evaluate_task_db,7,True,OK
21,agent1,2,edge_a4ad4e2912173bff,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,2,edge_c0a65b844e130f8a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,2,edge_1b45390a44c06d41,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,2,edge_96472ccfda220632,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,1,edge_b47d7aab492f6341,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,1,edge_9ff2c4d81ac9056f,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,1,edge_a4ad4e2912173bff,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,1,edge_c0a65b844e130f8a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,1,edge_1b45390a44c06d41,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,1,edge_96472ccfda220632,True,True,marble_database_evaluate_task_db,7,True,OK
21,agent1,0,edge_b47d7aab492f6341,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,0,edge_9ff2c4d81ac9056f,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,0,edge_a4ad4e2912173bff,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,0,edge_c0a65b844e130f8a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
21,agent1,0,edge_1b45390a44c06d41,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
21,agent1,0,edge_96472ccfda220632,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
22,agent1,2,edge_fedb561a34b0527d,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,2,edge_aeac670f2bc60fa9,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,2,edge_9eebf15eb9151bd3,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,2,edge_42c77c88588899df,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,2,edge_7ccb74f1d4387553,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,2,edge_562fb44a879a3829,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,1,edge_fedb561a34b0527d,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
22,agent1,1,edge_aeac670f2bc60fa9,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,1,edge_9eebf15eb9151bd3,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,1,edge_42c77c88588899df,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,1,edge_7ccb74f1d4387553,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,1,edge_562fb44a879a3829,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,0,edge_fedb561a34b0527d,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,0,edge_aeac670f2bc60fa9,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
22,agent1,0,edge_9eebf15eb9151bd3,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,0,edge_42c77c88588899df,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
22,agent1,0,edge_7ccb74f1d4387553,True,True,marble_database_evaluate_task_db,7,True,OK
22,agent1,0,edge_562fb44a879a3829,True,True,marble_database_evaluate_task_db,7,True,OK
23,agent1,2,edge_485cb557f3edbc4f,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,2,edge_f02af301d0133a0f,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,2,edge_23fc3c4d4376dd09,True,True,marble_database_evaluate_task_db,7,True,OK
23,agent1,2,edge_a6acea7e0e25abc0,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
23,agent1,2,edge_96d214fc8e755347,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,2,edge_3622cb29969cb9b1,True,True,marble_database_evaluate_task_db,7,True,OK
23,agent1,1,edge_485cb557f3edbc4f,True,True,marble_database_evaluate_task_db,7,True,OK
23,agent1,1,edge_f02af301d0133a0f,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,1,edge_23fc3c4d4376dd09,True,True,marble_database_evaluate_task_db,7,True,OK
23,agent1,1,edge_a6acea7e0e25abc0,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,1,edge_96d214fc8e755347,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,1,edge_3622cb29969cb9b1,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,0,edge_485cb557f3edbc4f,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
23,agent1,0,edge_f02af301d0133a0f,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
23,agent1,0,edge_23fc3c4d4376dd09,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,0,edge_a6acea7e0e25abc0,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
23,agent1,0,edge_96d214fc8e755347,True,True,marble_database_evaluate_task_db,7,True,OK
23,agent1,0,edge_3622cb29969cb9b1,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,2,edge_a1dd61d82bf0dd22,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,2,edge_457ef029668b9cf7,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,2,edge_1d057eba37c3fbf6,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,2,edge_aae099ea7c177738,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,2,edge_5be0d3d8a977db98,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,2,edge_c6a68db7da3294e8,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,1,edge_a1dd61d82bf0dd22,True,True,marble_database_evaluate_task_db,7,True,OK
24,agent1,1,edge_457ef029668b9cf7,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
24,agent1,1,edge_1d057eba37c3fbf6,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,1,edge_aae099ea7c177738,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,1,edge_5be0d3d8a977db98,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,1,edge_c6a68db7da3294e8,True,True,marble_database_evaluate_task_db,7,True,OK
24,agent1,0,edge_a1dd61d82bf0dd22,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,0,edge_457ef029668b9cf7,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,0,edge_1d057eba37c3fbf6,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,0,edge_aae099ea7c177738,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
24,agent1,0,edge_5be0d3d8a977db98,True,True,marble_database_evaluate_task_db,7,True,OK
24,agent1,0,edge_c6a68db7da3294e8,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
25,agent1,2,edge_0755d7fa2b70d18a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
25,agent1,2,edge_312c982d607ca94e,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
25,agent1,2,edge_647f21dc89e9311b,True,True,marble_database_evaluate_task_db,7,True,OK
25,agent1,2,edge_8f3ffd6257556a60,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
25,agent1,2,edge_73bb20dbe06b714d,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
25,agent1,2,edge_a4ed7717ddcf4c29,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
