contamination_type,ratio,method,task_id,seed,n_contaminated_total,n_contaminated_injected,contamination_rate,team_reward,total_injected,propagation_depth
false_procedural,0.1,smtr_uniform,29,1,0,0,0.0,0.3333,3,0.0
false_procedural,0.1,smtr_receiver,29,1,0,0,0.0,0.3333,1,0.0
false_procedural,0.1,full_memory,3,0,0,0,0.0,-4.3333,18,0.0
false_procedural,0.1,retrieval,3,0,0,0,0.0,-2.0,9,0.0
false_procedural,0.1,smtr_uniform,3,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,3,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,3,1,0,0,0.0,1.3333,15,0.0
false_procedural,0.1,retrieval,3,1,0,0,0.0,1.0,9,0.0
false_procedural,0.1,smtr_uniform,3,1,0,0,0.0,1.3333,6,0.0
false_procedural,0.1,smtr_receiver,3,1,0,0,0.0,1.3333,4,0.0
false_procedural,0.1,full_memory,30,2,0,0,0.0,0.0,12,0.0
false_procedural,0.1,retrieval,30,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,30,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,30,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,31,1,0,0,0.0,0.6667,15,0.0
false_procedural,0.1,retrieval,31,1,0,0,0.0,0.3333,9,0.0
false_procedural,0.1,smtr_uniform,31,1,0,0,0.0,0.6667,6,0.0
false_procedural,0.1,smtr_receiver,31,1,0,0,0.0,0.6667,2,0.0
false_procedural,0.1,full_memory,31,2,0,0,0.0,-1.0,9,0.0
false_procedural,0.1,retrieval,31,2,0,0,0.0,-1.0,9,0.0
false_procedural,0.1,smtr_uniform,31,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,31,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,32,0,0,0,0.0,-3.3333,12,0.0
false_procedural,0.1,retrieval,32,0,0,0,0.0,-2.6667,9,0.0
false_procedural,0.1,smtr_uniform,32,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,32,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,32,1,0,0,0.0,2.0,15,0.0
false_procedural,0.1,retrieval,32,1,0,0,0.0,1.0,9,0.0
false_procedural,0.1,smtr_uniform,32,1,0,0,0.0,2.0,6,0.0
false_procedural,0.1,smtr_receiver,32,1,0,0,0.0,2.0,6,0.0
false_procedural,0.1,full_memory,33,1,0,0,0.0,1.6667,15,0.0
false_procedural,0.1,retrieval,33,1,0,0,0.0,1.6667,9,0.0
