method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
retrieval,23,1,0.7777777777777778,1.0,1.1666666666666667,0.16666666666666666,3,3,3,1,1,1,0,0,1,0.0
smtr_uniform,23,1,1.777777777777778,2.0,1.1666666666666667,2.1666666666666665,3,3,3,2,1,2,0,0,0,0.0
smtr_receiver,23,1,1.777777777777778,2.0,1.1666666666666667,2.1666666666666665,2,1,2,2,1,2,0,0,0,0.4714045207910317
no_memory,23,2,0.13333333333333333,0.0,0.4,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,23,2,0.7999999999999999,2.0,-0.6,1.0,5,5,5,2,1,1,0,2,0,0.0
retrieval,23,2,0.7999999999999999,1.0,0.4,1.0,3,3,3,1,1,1,0,1,0,0.0
smtr_uniform,23,2,1.4666666666666668,2.0,1.4,1.0,2,2,2,2,1,1,0,0,0,0.0
smtr_receiver,23,2,1.4666666666666668,2.0,1.4,1.0,2,1,1,2,1,1,0,0,0,0.4714045207910317
no_memory,26,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,26,0,0.6666666666666666,1.0,0.0,1.0,6,6,6,0,0,0,0,1,0,0.0
retrieval,26,0,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0
smtr_uniform,26,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,26,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,26,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,26,1,-0.3333333333333333,0.0,-1.0,0.0,6,6,6,0,0,0,1,2,1,0.0
retrieval,26,1,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0
smtr_uniform,26,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,26,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,26,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,26,2,0.6666666666666666,1.0,0.0,1.0,6,6,6,0,0,0,0,1,0,0.0
retrieval,26,2,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0
smtr_uniform,26,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,26,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,27,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,27,0,0.3333333333333333,1.0,-1.0,1.0,5,5,5,0,0,0,0,2,0,0.0
retrieval,27,0,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0
smtr_uniform,27,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,27,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,27,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,27,1,0.3333333333333333,1.0,-1.0,1.0,5,5,5,0,0,0,0,2,0,0.0
retrieval,27,1,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0
smtr_uniform,27,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,27,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,27,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,27,2,0.6666666666666666,1.0,0.0,1.0,4,4,4,0,0,0,0,1,0,0.0
retrieval,27,2,0.6666666666666666,1.0,0.0,1.0,3,3,3,0,0,0,0,1,0,0.0
smtr_uniform,27,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,27,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,29,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,29,0,0.6666666666666666,1.0,0.0,1.0,5,5,5,1,0,1,0,0,0,0.0
retrieval,29,0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0.0
smtr_uniform,29,0,0.6666666666666666,1.0,0.0,1.0,2,2,2,1,0,1,0,0,0,0.0
smtr_receiver,29,0,0.6666666666666666,1.0,0.0,1.0,1,0,1,1,0,1,0,0,0,0.4714045207910317
no_memory,29,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,29,1,0.3333333333333333,0.0,0.0,1.0,6,6,6,0,0,1,0,0,0,0.0
retrieval,29,1,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0.0
smtr_uniform,29,1,0.3333333333333333,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0,0.0
smtr_receiver,29,1,0.3333333333333333,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0.4714045207910317
no_memory,3,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,3,0,-3.6666666666666665,-4.0,-5.0,-2.0,6,6,6,0,0,0,5,6,3,0.0
retrieval,3,0,-1.0,-1.0,-2.0,0.0,3,3,3,0,0,0,2,3,1,0.0
smtr_uniform,3,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,3,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,3,1,0.13333333333333333,0.0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.0
full_memory,3,1,0.4666666666666666,1.0,0.2,0.2,5,5,5,1,1,1,0,1,1,0.0
retrieval,3,1,1.1333333333333335,1.0,1.2,1.2,3,3,3,1,1,1,0,0,0,0.0
smtr_uniform,3,1,1.1333333333333335,1.0,1.2,1.2,1,1,1,1,1,1,0,0,0,0.0
smtr_receiver,3,1,1.1333333333333335,1.0,1.2,1.2,1,1,1,1,1,1,0,0,0,0.0
no_memory,30,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,30,2,0.6666666666666666,1.0,1.0,0.0,4,4,4,0,0,0,0,0,1,0.0
retrieval,30,2,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0
smtr_uniform,30,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,30,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,31,1,0.06666666666666667,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,31,1,0.7333333333333334,0.0,1.2,1.0,5,5,5,0,2,1,0,1,0,0.0
retrieval,31,1,0.06666666666666667,0.0,0.2,0.0,3,3,3,0,1,0,0,1,0,0.0
smtr_uniform,31,1,1.0666666666666667,0.0,2.2,1.0,3,3,3,0,2,1,0,0,0,0.0
smtr_receiver,31,1,1.0666666666666667,0.0,2.2,1.0,0,2,1,0,2,1,0,0,0,0.816496580927726
no_memory,31,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,31,2,0.0,0.0,0.0,0.0,3,3,3,0,0,0,1,1,1,0.0
retrieval,31,2,0.0,0.0,0.0,0.0,3,3,3,0,0,0,1,1,1,0.0
smtr_uniform,31,2,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
